Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Noah Albano,Canisius,MAAC,P,So.,15.0,84.0,5.49,107.0,6.87,18.3,11.4,2.72
Joe LoPinto,Canisius,MAAC,P,Jr.,29.7,140.0,5.13,115.0,7.63,17.9,10.3,2.85
Felix Morin,Canisius,MAAC,P,Sr.,54.5,258.0,4.91,120.0,7.83,17.9,10.1,2.75
Brian Smith,Canisius,MAAC,P,So.,17.1,96.0,5.21,113.0,8.17,19.9,11.7,2.38
Sam Staerker,Canisius,MAAC,P,Sr.,28.1,133.0,4.88,120.0,9.95,21.1,11.2,2.7
Bryce DiPiero,Central Conn. St.,NEC,P,Jr.,12.1,66.0,5.18,114.0,8.31,18.9,10.6,2.65
Jacob Hines,Central Conn. St.,NEC,P,So.,13.1,59.0,4.67,126.0,9.66,20.2,10.5,2.52
Alexander Kasbarian,Central Conn. St.,NEC,P,Sr.,10.1,47.0,4.82,122.0,8.0,18.6,10.6,2.33
Richie Kerstetter,Central Conn. St.,NEC,P,Jr.,27.2,121.0,4.58,128.0,10.23,20.1,9.8,2.42
Mason McCarroll,Central Conn. St.,NEC,P,So.,12.2,55.0,5.03,117.0,8.12,19.2,11.1,2.84
Nick Murphy,Central Conn. St.,NEC,P,Sr.,27.1,128.0,4.92,120.0,8.88,17.9,9.0,2.73
TJ Winn Jr.,Central Conn. St.,NEC,P,Jr.,28.4,150.0,4.91,120.0,7.84,16.6,8.8,2.27
Matthew Heyl,UCF,Big 12,P,Jr.,23.8,111.0,5.41,109.0,5.86,17.2,11.4,2.82
Evan Jones,UCF,Big 12,P,Jr.,14.7,70.0,4.68,126.0,10.89,21.8,11.0,2.55
Matt Sauser,UCF,Big 12,P,Jr.,25.1,115.0,5.44,108.0,8.68,19.4,10.7,3.58
Kevin Schoneboom,UCF,Big 12,P,Sr.,27.0,112.0,4.51,130.0,10.77,20.5,9.7,2.62
Grant Siegel,UCF,Big 12,P,Sr.,51.3,227.0,4.45,132.0,9.75,19.0,9.2,2.27
Kris Sosnowski,UCF,Big 12,P,Sr.,27.3,121.0,4.27,138.0,12.01,21.0,9.0,2.38
Joey Trombley,UCF,Big 12,P,Jr.,73.9,339.0,4.6,128.0,6.99,16.7,9.7,2.17
Camden Wicker,UCF,Big 12,P,Jr.,51.8,225.0,4.74,124.0,10.47,19.9,9.4,2.67
Jake Brown,Central Mich.,MAC,P,Jr.,17.2,94.0,5.89,100.0,5.7,19.2,13.5,2.92
Alejandro Espinoza,Central Mich.,MAC,P,Sr.,62.1,320.0,5.61,105.0,4.09,13.8,9.7,2.97
Max Hammond,Central Mich.,MAC,P,So.,19.1,107.0,5.76,102.0,5.88,17.9,12.0,2.77
Jared Hanson,Central Mich.,MAC,P,Jr.,44.2,201.0,4.41,133.0,7.05,15.7,8.6,1.94
Jack Otis,Central Mich.,MAC,P,Sr.,13.2,67.0,5.43,108.0,7.87,18.6,10.8,2.87
Cayden Smith,Central Mich.,MAC,P,So.,20.0,90.0,4.82,122.0,9.89,20.5,10.6,2.84
Jack Smith,Central Mich.,MAC,P,Sr.,16.4,92.0,6.33,93.0,4.66,18.0,13.3,3.2
Liam Stumpf,Central Mich.,MAC,P,Sr.,44.0,208.0,4.97,118.0,7.55,17.2,9.7,2.53
