Name,Player_ID,#,Team,Conference,Bats,Throws,Position,Class,Height,Hometown
Jonathon Van Ness,110207,32,Belmont,MVC,RIGHT,RIGHT,P,So.,6-3,"Knoxville, TN"
Isaiah Afework,110208,44,A&M-Corpus Christi,Southland,RIGHT,RIGHT,OF,Jr.,-,"Federal Way, WA"
Hunter Azemar,110209,19,A&M-Corpus Christi,Southland,RIGHT,RIGHT,C,Jr.,-,"Lafayette, LA"
Jake Barron,110210,7,A&M-Corpus Christi,Southland,RIGHT,RIGHT,INF,Fr.,-,"Tomball, TX"
Jack Bergstrom,110211,4,A&M-Corpus Christi,Southland,RIGHT,RIGHT,C,Jr.,-,"Federal Way, WA"
John Paul Buckner,110212,16,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Starkville, MS"
Kade Budd,110213,6,A&M-Corpus Christi,Southland,LEFT,LEFT,P,Jr.,-,"Corpus Christi, TX"
Noah Cassie,110214,17,A&M-Corpus Christi,Southland,RIGHT,RIGHT,OF,Jr.,-,"Vancouver, B.C., Canada"
Evan Chadwick,110215,38,A&M-Corpus Christi,Southland,RIGHT,RIGHT,C,Jr.,5-11,"La Palma, CA"
Nicho Crowley,110216,31,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Port Orchard, WA"
Matt Evans,110217,9,A&M-Corpus Christi,Southland,LEFT,LEFT,OF,Jr.,6-0,"Tillsonburg, Canada"
Jarrett Flaggert,110218,14,A&M-Corpus Christi,Southland,RIGHT,RIGHT,INF,Jr.,6-5,"Choctaw, OK"
Chandler Fowler,110219,25,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Jenks, OK"
Walker Freeman,110220,10,A&M-Corpus Christi,Southland,LEFT,LEFT,OF,Jr.,-,"Tyler, TX"
Gavin Hasche,110221,13,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,6-0,"Parker, CO"
Pierre-Luc Jacques,110222,22,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Saint-Nicolas, Canada"
Karson Krowka,110223,5,A&M-Corpus Christi,Southland,RIGHT,RIGHT,INF,Sr.,6-0,"Heath, TX"
Bronson Lange,110224,28,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Fr.,-,"Floresville, TX"
Chase Mayer,110225,27,A&M-Corpus Christi,Southland,LEFT,LEFT,P,Jr.,-,"Amherst, OH"
Matthew Molina,110226,39,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,6-0,"Alice, TX"
Nathan Mueller,110227,36,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Fort Worth, TX"
Damian Pantoya,110228,40,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Fr.,6-2,"Lubbock, TX"
Pearson Pollard,110229,30,A&M-Corpus Christi,Southland,LEFT,LEFT,P,So.,5-10,"Houston, TX"
Pedro Quero,110230,11,A&M-Corpus Christi,Southland,RIGHT,RIGHT,C,Jr.,-,"Tempe, AZ"
Jayden Reynolds,110231,3,A&M-Corpus Christi,Southland,LEFT,RIGHT,INF,Jr.,-,"Fair Oaks, CA"
Luke Robertson,110232,34,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,So.,6-5,"Frisco, TX"
Austin Russell,110233,15,A&M-Corpus Christi,Southland,RIGHT,RIGHT,1B,Sr.,6-0,"Flower Mound, TX"
Cade Sanchez,110234,12,A&M-Corpus Christi,Southland,RIGHT,RIGHT,INF,Sr.,5-9,"Houston, TX"
Tito Santos,110235,35,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,So.,6-2,"San Marcos, TX"
Connor Schlect,110236,24,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Yakima, WA"
Jabe Schlehuber,110237,32,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Sand Springs, OK"
Nic Schwing,110238,8,A&M-Corpus Christi,Southland,RIGHT,RIGHT,INF,Jr.,-,"Madisonville, LA"
Bryson Shea,110239,23,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,So.,6-2,"Eagle, ID"
Luke Singleton,110240,26,A&M-Corpus Christi,Southland,LEFT,LEFT,P,Sr.,6-3,"Colorado Springs, CO"
Easten Smith,110241,20,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Sr.,5-11,"Glenn Heights, TX"
Jackson Smith,110242,33,A&M-Corpus Christi,Southland,LEFT,RIGHT,1B,Sr.,6-0,"Owasso, OK"
Christian Smith-Johnson,110243,1,A&M-Corpus Christi,Southland,RIGHT,RIGHT,OF,Sr.,6-1,"N Richland Hills, TX"
Will Stark,110244,2,A&M-Corpus Christi,Southland,LEFT,RIGHT,OF,So.,5-11,"Katy, TX"
Brock Thorndell,110245,41,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,-,"Hockley, TX"
Max Towchik,110246,18,A&M-Corpus Christi,Southland,RIGHT,RIGHT,INF,Jr.,-,"Colleyville, TX"
Preston Watkins,110247,43,A&M-Corpus Christi,Southland,RIGHT,RIGHT,P,Jr.,6-3,"Deer Park, TX"
Brock Beddingfield,110248,44,Lipscomb,ASUN,RIGHT,RIGHT,UT,Fr.,6-2,"Brentwood, TN"
Collin Bosley-Smith,110249,29,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-4,"Washington, DC"
Blake Carter,110250,4,Lipscomb,ASUN,RIGHT,RIGHT,UT,So.,6-3,"Knoxville, TN"
Will Dugan,110251,20,Lipscomb,ASUN,RIGHT,RIGHT,P,Jr.,6-4,"Nashville, TN"
Cameron Guise,110252,30,Lipscomb,ASUN,RIGHT,RIGHT,UT,So.,6-1,"Tampa, FL"
Eric Harper,110253,2,Lipscomb,ASUN,RIGHT,RIGHT,UT,So.,5-10,"Brentwood, TN"
Kai Holm,110254,12,Lipscomb,ASUN,RIGHT,RIGHT,INF,Sr.,5-10,"Redwood City, CA"
Adam Jamison,110255,9,Lipscomb,ASUN,RIGHT,RIGHT,P,So.,6-2,"Murfreesboro, TN"
Kaleb Kantola,110256,49,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-6,"Monmouth, OR"
Damion Kenealy Jr,110257,22,Lipscomb,ASUN,RIGHT,RIGHT,INF,Sr.,6-3,"Pasadena, MD"
Landon Kiefer,110258,55,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,5-10,"Crestview, FL"
Ryan Kutz,110259,32,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-1,"Hummelstown, PA"
Jackson Lee,110260,16,Lipscomb,ASUN,LEFT,LEFT,P,Fr.,6-0,"Columbia, TN"
Dane LeMaster,110261,11,Lipscomb,ASUN,RIGHT,RIGHT,P,Fr.,6-1,"Tomball, TX"
Alexander Llinas,110262,13,Lipscomb,ASUN,LEFT,LEFT,P,Sr.,6-0,"Pembroke Pines, FL"
Alejandro Ludeiro,110263,24,Lipscomb,ASUN,RIGHT,RIGHT,C,So.,6-1,"Pembroke Pines, FL"
Tanner Lyne,110264,50,Lipscomb,ASUN,RIGHT,RIGHT,P,Jr.,5-10,"Concord, NC"
Mack Mabrey,110265,31,Lipscomb,ASUN,LEFT,LEFT,P,Jr.,6-2,"Carlsbad, NM"
Keaton Mahan,110266,15,Lipscomb,ASUN,LEFT,LEFT,OF,Sr.,6-2,"Westfield, IN"
Jevarra Martin Jr.,110267,5,Lipscomb,ASUN,LEFT,LEFT,P,Jr.,6-7,"Covington, GA"
Hutson Miles,110268,19,Lipscomb,ASUN,RIGHT,RIGHT,UT,Jr.,5-9,"Madison, TN"
Brady Miller,110269,8,Lipscomb,ASUN,RIGHT,RIGHT,INF,So.,5-11,"Oakdale, PA"
Cole O'Brien,110270,35,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-3,"Decatur, AL"
Caleb Pica,110271,43,Lipscomb,ASUN,RIGHT,LEFT,P,Sr.,6-7,"Nashville, TN"
Cole Pippenger,110272,18,Lipscomb,ASUN,RIGHT,RIGHT,INF,Fr.,6-0,"Hillsboro, TN"
Jake Poindexter,110273,17,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-0,"Chickamauga, GA"
Cam Pruitt,110274,7,Lipscomb,ASUN,RIGHT,RIGHT,INF,Jr.,5-10,"Wylie, TX"
Brock Puckett,110275,38,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-4,"Murfreesboro, TN"
Danny Ramirez,110276,21,Lipscomb,ASUN,LEFT,LEFT,UT,Jr.,6-3,"Kissimmee, FL"
Simon Scharff,110277,27,Lipscomb,ASUN,RIGHT,RIGHT,C,So.,6-0,"Lake Wales, FL"
Caden Shanks,110278,1,Lipscomb,ASUN,LEFT,LEFT,UT,So.,6-2,"Cookeville, TN"
Coleman Siniard,110279,41,Lipscomb,ASUN,RIGHT,RIGHT,C,Sr.,5-11,"Pulaski, TN"
Aaron Stelogeannis,110280,23,Lipscomb,ASUN,RIGHT,RIGHT,UT,Sr.,6-1,"Ocala, FL"
Adam Switalski,110281,28,Lipscomb,ASUN,RIGHT,RIGHT,P,Jr.,6-0,"Burlington, WI"
Jordan Thomas,110282,6,Lipscomb,ASUN,LEFT,LEFT,OF,Jr.,6-0,"Loganville, GA"
Jacob Tobias,110283,25,Lipscomb,ASUN,LEFT,RIGHT,OF,Jr.,6-2,"Birmingham, AL"
Jace Trautner,110284,10,Lipscomb,ASUN,RIGHT,RIGHT,P,Sr.,6-3,"Trinity, FL"
Cody Underwood,110285,26,Lipscomb,ASUN,RIGHT,RIGHT,UT,Fr.,6-2,"Chapel Hill, TN"
Jhon Abreu,110286,10,FGCU,ASUN,LEFT,LEFT,P,Fr.,5-10,"Wellington, FL"
Simon Aluko,110287,16,FGCU,ASUN,LEFT,LEFT,P,Sr.,6-2,"Acworth, GA"
Logan Baisley,110288,28,FGCU,ASUN,RIGHT,RIGHT,P,So.,6-4,"Land O Lakes, FL"
Reed Biemiller,110289,37,FGCU,ASUN,RIGHT,RIGHT,P,Fr.,5-11,"Tampa, FL"
Elliot Cadieux-Lanoue,110290,21,FGCU,ASUN,LEFT,LEFT,P,So.,6-1,"Saint-Pie, Canada"
Stetson Callaway,110291,34,FGCU,ASUN,RIGHT,RIGHT,P,Jr.,6-4,"Tuscola, TX"
Jeremy Comer,110292,26,FGCU,ASUN,LEFT,RIGHT,OF,So.,6-2,"Shawnee, KS"
Evan Dempsey,110293,25,FGCU,ASUN,RIGHT,RIGHT,OF,Jr.,6-2,"Tampa, FL"
Chris Diaz,110294,22,FGCU,ASUN,RIGHT,RIGHT,P,So.,6-0,"Hialeah, FL"
Logan Eisenbarth,110295,27,FGCU,ASUN,RIGHT,RIGHT,P,Sr.,6-2,"Williams Bay, WI"
Levent Eldem,110296,35,FGCU,ASUN,RIGHT,RIGHT,P,Sr.,6-7,"Ocala, FL"
Jon Embury,110297,8,FGCU,ASUN,RIGHT,RIGHT,C,So.,6-0,"Port Charlotte, FL"
Nathan Gagnon,110298,4,FGCU,ASUN,LEFT,LEFT,OF,Sr.,6-1,"Otterburn Park, Canada"
Brandyn Gonzalez,110299,20,FGCU,ASUN,LEFT,RIGHT,OF,Sr.,5-10,"Miramar, FL"
Wilfred Gonzalez,110300,1,FGCU,ASUN,RIGHT,RIGHT,INF,Jr.,5-6,"Miami, FL"
Javier Gorostola,110301,13,FGCU,ASUN,RIGHT,RIGHT,1B,Jr.,6-0,"Miami, FL"
Tyler Herb,110302,23,FGCU,ASUN,LEFT,RIGHT,INF,So.,6-3,"Mount Dora, FL"
Cayden Hessmyer,110303,15,FGCU,ASUN,RIGHT,RIGHT,P,So.,6-0,"Odessa, FL"
Mason Hudson,110304,36,FGCU,ASUN,RIGHT,RIGHT,P,Fr.,6-1,"New Port Richey, FL"
Keaton Kangas,110305,5,FGCU,ASUN,LEFT,RIGHT,INF,So.,6-2,"Lake Worth, FL"
Cole Lasher,110306,19,FGCU,ASUN,RIGHT,RIGHT,OF,Fr.,6-2,"Fort Lauderdale, FL"
Sebastian Lippman,110307,6,FGCU,ASUN,BOTH,RIGHT,OF,Fr.,6-2,"Plainview, NY"
Jonathan Maassen,110308,39,FGCU,ASUN,BOTH,RIGHT,C,Fr.,6-3,"Bradenton, FL"
Ethan Mattison,110309,18,FGCU,ASUN,LEFT,LEFT,P,So.,6-2,"Lake Worth, FL"
Mattox Meeks,110310,33,FGCU,ASUN,RIGHT,RIGHT,P,So.,6-4,"New Smyrna Beach, FL"
Keenan Mork,110311,32,FGCU,ASUN,LEFT,RIGHT,P,Jr.,6-2,"River Falls, WI"
Jaret Nelson,110312,30,FGCU,ASUN,RIGHT,RIGHT,1B,Sr.,6-4,"Nixa, MO"
Ashton Pocol,110313,2,FGCU,ASUN,RIGHT,RIGHT,P,Jr.,6-2,"Saint Johns, FL"
Hunter Possehl,110314,7,FGCU,ASUN,LEFT,LEFT,P,Jr.,6-7,"Nokomis, FL"
Merrick Rapoza,110315,9,FGCU,ASUN,LEFT,RIGHT,INF,Fr.,6-1,"Fleming Island, FL"
Hyatt Richardson,110316,24,FGCU,ASUN,RIGHT,RIGHT,P,Fr.,6-1,"Live Oak, FL"
Preston Rogers,110317,29,FGCU,ASUN,RIGHT,RIGHT,P,So.,6-1,"Plant City, FL"
Jaden Rose,110318,3,FGCU,ASUN,RIGHT,RIGHT,UT,So.,6-3,"Stilwell, KS"
Ryan Rushing,110319,31,FGCU,ASUN,RIGHT,LEFT,P,Jr.,5-10,"Bradenton, FL"
Juan Santos,110320,42,FGCU,ASUN,RIGHT,RIGHT,C,Fr.,6-2,"Carolina, PR"
Andrew Seidel,110321,12,FGCU,ASUN,RIGHT,RIGHT,OF,Jr.,5-10,"Newhall, CA"
Andrew Sheffield,110322,4,FGCU,ASUN,RIGHT,RIGHT,INF,Fr.,5-10,"Palm Harbor, FL"
Ryan Thompson,110323,17,FGCU,ASUN,LEFT,LEFT,P,Fr.,6-4,"Tampa, FL"
Jordan Vera,110324,14,FGCU,ASUN,RIGHT,RIGHT,P,Jr.,6-2,"Miami, FL"
George Albrecht,110325,18,Utah Valley,WAC,LEFT,RIGHT,P,Sr.,6-4,"Louisville, CO"
Will Applegate,110326,0,Utah Valley,WAC,LEFT,RIGHT,INF,Jr.,6-2,"Charleston, IL"
Cohen Baack,110327,14,Utah Valley,WAC,RIGHT,RIGHT,P,Fr.,5-10,"Phoenix, AZ"
Joseph Barnhardt,110328,16,Utah Valley,WAC,RIGHT,RIGHT,C,Sr.,6-2,"Stockton, CA"
Chipper Beck,110329,8,Utah Valley,WAC,RIGHT,RIGHT,INF,Sr.,6-1,"Highland, UT"
Mario Bejarano,110330,53,Utah Valley,WAC,LEFT,LEFT,P,Sr.,5-11,"Tucson, AZ"
Jacob Beltran,110331,17,Utah Valley,WAC,RIGHT,RIGHT,P,Sr.,6-0,"Phoenix, AZ"
Brody Block,110332,10,Utah Valley,WAC,LEFT,LEFT,OF,Sr.,5-9,"Visalia, CA"
Cooper Brass,110333,2,Utah Valley,WAC,RIGHT,RIGHT,INF,So.,5-10,"Chandler, AZ"
Kaden Carpenter,110334,5,Utah Valley,WAC,LEFT,LEFT,OF,Sr.,6-4,"American Fork, UT"
Jordan Chancellor,110335,20,Utah Valley,WAC,RIGHT,RIGHT,P,Fr.,6-2,"Indio, CA"
Liwai Correa,110336,1,Utah Valley,WAC,RIGHT,RIGHT,INF,Fr.,5-11,"Keaau, HI"
Jimmy De Anda,110337,3,Utah Valley,WAC,RIGHT,RIGHT,OF,Sr.,5-9,"Yorba Linda, CA"
Bradley Gilbert,110338,21,Utah Valley,WAC,LEFT,RIGHT,P,So.,6-0,"Redlands, CA"
Mason Hamlin,110339,13,Utah Valley,WAC,RIGHT,RIGHT,INF,Sr.,6-2,"Falcon, CO"
Naun Haro,110340,31,Utah Valley,WAC,LEFT,LEFT,P,Sr.,6-2,"La Quinta, CA"
Jacob Heppner,110341,24,Utah Valley,WAC,LEFT,LEFT,P,Jr.,5-11,"Litchfield Park, AZ"
Ray Hernandez,110342,25,Utah Valley,WAC,RIGHT,RIGHT,P,Sr.,5-11,"Temecula, CA"
Quinn Holt,110343,30,Utah Valley,WAC,RIGHT,RIGHT,P,Sr.,6-5,"North Wales, PA"
Derek Houston,110344,37,Utah Valley,WAC,RIGHT,RIGHT,C,Jr.,6-2,"Kanab, UT"
Luke Iverson,110345,9,Utah Valley,WAC,BOTH,RIGHT,C,Sr.,6-0,"Saint George, UT"
Trey Jacobsen,110346,32,Utah Valley,WAC,RIGHT,RIGHT,P,Jr.,6-5,"Cedar City, UT"
Jet Jones,110347,49,Utah Valley,WAC,RIGHT,RIGHT,C,Fr.,6-3,"Londonderry, NH"
Hunter Katschke,110348,7,Utah Valley,WAC,RIGHT,RIGHT,UT,Sr.,6-3,"Las Vegas, NV"
Colton Kennedy,110349,11,Utah Valley,WAC,RIGHT,RIGHT,UT,Sr.,6-0,"Kirkland, WA"
Luke Kimmel,110350,34,Utah Valley,WAC,LEFT,LEFT,P,Jr.,5-11,"Orem, UT"
Cooper Littledike,110351,28,Utah Valley,WAC,RIGHT,RIGHT,P,Sr.,6-3,"Mapleton, UT"
DJ Massey,110352,38,Utah Valley,WAC,RIGHT,RIGHT,INF,Sr.,5-8,"Bellflower, CA"
Josh Mawhinney,110353,22,Utah Valley,WAC,RIGHT,RIGHT,P,Fr.,6-4,"Cottonwood Heights, UT"
Garrett Miller,110354,12,Utah Valley,WAC,RIGHT,RIGHT,P,Jr.,6-0,"Boise, ID"
Maddax Peck,110355,55,Utah Valley,WAC,RIGHT,RIGHT,P,So.,6-1,"Riverton, UT"
Aaron Rice,110356,15,Utah Valley,WAC,RIGHT,RIGHT,P,Sr.,6-3,"Brillion, WI"
Niko Rosell,110357,36,Utah Valley,WAC,LEFT,RIGHT,INF,Jr.,6-0,"Hillsboro, OR"
Trenton Rowan,110358,6,Utah Valley,WAC,LEFT,RIGHT,INF,Jr.,6-3,"Erie, CO"
Carter Seely,110359,27,Utah Valley,WAC,RIGHT,RIGHT,P,Jr.,6-1,"Selah, WA"
Jayden Smith,110360,33,Utah Valley,WAC,RIGHT,RIGHT,OF,Sr.,5-9,"Gilbert, AZ"
Max Stanley,110361,29,Utah Valley,WAC,LEFT,RIGHT,P,Jr.,6-3,"Parker, CO"
Mason Strong,110362,4,Utah Valley,WAC,RIGHT,RIGHT,C,Sr.,6-0,"Santa Clara, UT"
Chance Wallace,110363,41,Utah Valley,WAC,RIGHT,LEFT,P,Sr.,6-0,"Portland, OR"
Landon Zaborowski,110364,35,Utah Valley,WAC,RIGHT,RIGHT,P,So.,6-3,"Gilbert, AZ"
Justus Agosto,110365,21,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-1,"Langhorne, PA"
Justin Battle,110366,29,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-0,"Murfreesboro, TN"
Hunter Bell,110367,18,North Ala.,ASUN,RIGHT,RIGHT,OF,Sr.,6-6,"Centreville, VA"
Ryker Billingsley,110368,9,North Ala.,ASUN,,,OF,Sr.,5-10,"Chino Hills, CA"
Josh Bowerman,110369,33,North Ala.,ASUN,RIGHT,RIGHT,P,Jr.,6-3,"Florence, AL"
Jake Boynar,110370,51,North Ala.,ASUN,RIGHT,RIGHT,P,Jr.,6-6,
Carlos Carmona,110371,32,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-1,"San Cristobal, Dominican Republic"
Jackson Cheek,110372,20,North Ala.,ASUN,RIGHT,RIGHT,P,Jr.,6-3,"Nettleton, MS"
Charlie Cochran,110373,10,North Ala.,ASUN,RIGHT,RIGHT,C,Sr.,6-2,"Florence, AL"
Dylan Coleman,110374,5,North Ala.,ASUN,RIGHT,RIGHT,INF,Sr.,6-3,"Madison, MS"
Petey Craska,110375,40,North Ala.,ASUN,LEFT,RIGHT,INF,So.,6-0,"Gibsonia, PA"
Kelly Crumpton,110376,19,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-3,"Jackson, MS"
Luke Davenport,110377,27,North Ala.,ASUN,RIGHT,RIGHT,P,So.,6-4,"Madison, AL"
Kevin Henrich,110378,24,North Ala.,ASUN,RIGHT,RIGHT,P,Jr.,6-2,"Malvern, PA"
Leighton Jenkins,110379,3,North Ala.,ASUN,RIGHT,RIGHT,INF,Sr.,6-0,"Collinsville, MS"
Chandler Ketchup,110380,13,North Ala.,ASUN,LEFT,RIGHT,OF,Jr.,5-10,"Jonesboro, GA"
Tyler LePage,110381,39,North Ala.,ASUN,LEFT,RIGHT,INF,Jr.,5-7,"Macungie, PA"
Dimaggio Lonero,110382,14,North Ala.,ASUN,RIGHT,RIGHT,INF,Fr.,5-11,"Canonsburg, PA"
Bryant Loving,110383,4,North Ala.,ASUN,RIGHT,RIGHT,INF,Jr.,6-1,"Nashville, TN"
Will Millard,110384,2,North Ala.,ASUN,RIGHT,RIGHT,C,Jr.,5-11,"O Fallon, IL"
Ethan Moore,110385,45,North Ala.,ASUN,RIGHT,RIGHT,1B,Jr.,6-3,"Tulsa, OK"
Tait Nunnally,110386,22,North Ala.,ASUN,LEFT,LEFT,OF,Jr.,6-1,"Pell City, AK"
Gavin Oswald,110387,48,North Ala.,ASUN,LEFT,LEFT,P,Sr.,6-6,"Wildwood, MO"
Tripp Patterson,110388,8,North Ala.,ASUN,LEFT,LEFT,P,So.,6-2,"Alexandria, AL"
Tyler Rice,110389,31,North Ala.,ASUN,LEFT,RIGHT,OF,Sr.,5-10,"Berlin, CT"
Nash Rippen,110390,34,North Ala.,ASUN,LEFT,RIGHT,OF,Sr.,6-2,"Decatur, AL"
Justin Santoyo,110391,17,North Ala.,ASUN,RIGHT,RIGHT,INF,Sr.,6-0,"Los Alamitos, CA"
Landon Scruggs,110392,15,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-4,"Mineral Wells, MS"
Cayden Sheffield,110393,7,North Ala.,ASUN,RIGHT,RIGHT,OF,Fr.,6-1,"Dallas, GA"
John Allen Stogner,110394,30,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-2,"Huntsville, AL"
Sawyer Toney,110395,43,North Ala.,ASUN,RIGHT,RIGHT,P,Sr.,6-4,"Tampa, FL"
Jordan Touhey,110396,11,North Ala.,ASUN,RIGHT,RIGHT,P,Fr.,6-4,"San Tan Valley, AZ"
Nicolas Varlotta,110397,28,North Ala.,ASUN,RIGHT,RIGHT,P,Fr.,6-2,"Wexford, PA"
Alex Wade,110398,25,North Ala.,ASUN,RIGHT,RIGHT,OF,Jr.,6-2,"Decatur, AL"
Wes Walker,110399,44,North Ala.,ASUN,BOTH,RIGHT,C,So.,6-0,"Madison, AL"
Ryan West,110400,37,North Ala.,ASUN,RIGHT,RIGHT,UT,Sr.,5-10,"Madison, AL"
Jackson Westmoreland,110401,12,North Ala.,ASUN,RIGHT,RIGHT,INF,Jr.,5-9,"Ball Ground, GA"
John Austin Wood,110402,26,North Ala.,ASUN,RIGHT,RIGHT,C,Fr.,6-4,"Fulton, MS"
Reese Young,110403,16,North Ala.,ASUN,LEFT,LEFT,P,So.,6-0,"Mechanicsburg, PA"
Camden Andrews,110404,10,California Baptist,WAC,RIGHT,RIGHT,C,Jr.,5-11,"Duarte, CA"
Luis Becerra,110405,17,California Baptist,WAC,RIGHT,RIGHT,P,Sr.,6-4,"San Leandro, CA"
Matthew Bline,110406,29,California Baptist,WAC,LEFT,LEFT,OF,Fr.,5-10,"Highland, CA"
Sam Burgess,110407,42,California Baptist,WAC,LEFT,LEFT,P,So.,6-1,"Riverside, CA"
Alfredo Capacete II,110408,23,California Baptist,WAC,RIGHT,RIGHT,UT,Sr.,6-2,"Jurupa Valley, CA"
John Carlson,110409,31,California Baptist,WAC,RIGHT,RIGHT,P,Fr.,6-2,"Valencia, CA"
Ben Castelli,110410,25,California Baptist,WAC,LEFT,RIGHT,OF,Sr.,6-0,"Anaheim, CA"
Matt Chavez,110411,28,California Baptist,WAC,RIGHT,RIGHT,C,Sr.,5-11,"Colton, CA"
Nathan Chavez,110412,22,California Baptist,WAC,LEFT,LEFT,P,Fr.,5-11,"Riverside, CA"
Ryder Dykstra,110413,5,California Baptist,WAC,LEFT,RIGHT,OF,Fr.,6-0,"Corona, CA"
Carter Eberhard,110414,2,California Baptist,WAC,LEFT,RIGHT,INF,So.,6-2,"Castro Valley, CA"
Thomas Entrekin,110415,20,California Baptist,WAC,LEFT,RIGHT,INF,Fr.,5-10,"Alpine, CA"
Cole Hansen,110416,4,California Baptist,WAC,RIGHT,RIGHT,C,Fr.,6-0,"Norco, CA"
Cole Howarth,110417,12,California Baptist,WAC,RIGHT,RIGHT,INF,Sr.,6-6,"Chino Hills, CA"
Riley Hunsaker,110418,13,California Baptist,WAC,LEFT,LEFT,OF,Jr.,6-1,"Highland, CA"
Samuel Lopez,110419,37,California Baptist,WAC,LEFT,RIGHT,INF,Fr.,5-9,"Fontana, CA"
Michael Malki,110420,3,California Baptist,WAC,RIGHT,RIGHT,P,So.,6-0,"Corona, CA"
Bryce McFeely,110421,8,California Baptist,WAC,RIGHT,RIGHT,OF,Sr.,6-1,"Seattle, WA"
Cody New,110422,21,California Baptist,WAC,LEFT,LEFT,P,Jr.,6-3,"Hesperia, CA"
Carson Olsen,110423,34,California Baptist,WAC,RIGHT,RIGHT,P,Sr.,6-5,"Murrieta, CA"
Julian Orozco,110424,6,California Baptist,WAC,RIGHT,RIGHT,P,Sr.,5-10,"Long Beach, CA"
Ryne Palmer,110425,19,California Baptist,WAC,RIGHT,RIGHT,P,Sr.,6-4,"Peoria, AZ"
Bryan Peck,110426,15,California Baptist,WAC,RIGHT,RIGHT,P,Sr.,6-2,"Palmdale, CA"
Chris Ramirez,110427,1,California Baptist,WAC,RIGHT,RIGHT,INF,So.,5-9,"Corona, CA"
Isaiah Reveron,110428,44,California Baptist,WAC,RIGHT,RIGHT,OF,Fr.,6-2,"Apple Valley, CA"
Bubba Rocha,110429,11,California Baptist,WAC,RIGHT,RIGHT,OF,Jr.,5-11,"Brentwood, CA"
Connor Ross,110430,7,California Baptist,WAC,RIGHT,RIGHT,INF,Sr.,6-0,"Fairfield, CA"
Andrew Rudd,110431,32,California Baptist,WAC,RIGHT,RIGHT,P,Jr.,6-5,"Riverside, GA"
Eric Ruiz,110432,16,California Baptist,WAC,RIGHT,RIGHT,OF,Fr.,6-2,"Hesperia, CA"
Kody Smathers,110433,14,California Baptist,WAC,RIGHT,RIGHT,P,Fr.,6-4,"Fontana, CA"
Noah Smith,110434,18,California Baptist,WAC,RIGHT,RIGHT,P,Jr.,6-3,"Highland, CA"
Cameron Teper,110435,40,California Baptist,WAC,LEFT,LEFT,P,Jr.,6-1,"Corona, CA"
Diesel Toth,110436,39,California Baptist,WAC,RIGHT,RIGHT,INF,Fr.,6-0,"Highland, CA"
Carter Tucker,110437,43,California Baptist,WAC,RIGHT,RIGHT,P,Fr.,6-0,"El Centro, CA"
Niko Urquidi,110438,27,California Baptist,WAC,LEFT,LEFT,P,Jr.,6-1,"Murrieta, CA"
Zachary Yates,110439,24,California Baptist,WAC,RIGHT,RIGHT,P,Sr.,6-2,"Tustin, CA"
Lucas Zack,110440,33,California Baptist,WAC,LEFT,LEFT,P,Jr.,6-4,"Lake Arrowhead, CA"
Collin Adams,110441,37,Abilene Christian,WAC,LEFT,LEFT,P,Jr.,5-10,"Forney, TX"
Nick Arias,110442,5,Abilene Christian,WAC,RIGHT,RIGHT,INF,Sr.,5-11,"Tucson, AZ"
Luke Baier,110443,15,Abilene Christian,WAC,LEFT,RIGHT,C,Sr.,6-5,"Wenatchee, WA"
Chase Batten,110444,23,Abilene Christian,WAC,LEFT,LEFT,P,Fr.,6-0,"Richmond, TX"
